"Bank Name","Bank Code","BIC"
"ENTIDAD 0000","0000",""
"BANCO DE DEPOSITOS","0003","BDEPESM1XXX"
"BANCO DE ANDALUCIA","0004","BANDESSSXXX"
"BANCO ATLANTICO","0008",""
"BANCO DE CREDITO FINANZIA","0009","FICDESM1XXX"
"BANCO NATWEST ESPAÑA","0013","SLBKESBBXXX"
"BANCA CATALANA ","0015","CATAESBBXXX"
"ANTIGUO BANCO CENTRAL","0016","CENTESMM"
"DEUTCH BANK","0019","DEUTESBBASS"
"BANCO PICHINCHA","0023",""
"BANCO DE CREDITO BALEAR","0024","BALEES22XXX"
"BANCO ESPAÑOL DE CREDITO","0030","ESPCESMMXXX"
"BANCO ETCHEVERRIA","0031","ETCHES2GXXX"
"BANCO PERSONAL PRIVANZA","0035",""
"BANCO SANTANDER DE NEGOCIOS","0036","SABNESMMXXX"
"BANCO GENERAL","0038",""
"BANCO INVERSION Y SERV. FINANCIEROS","0040",""
"BANCO DE JEREZ","0041",""
"BANCO GUIPUZCOANO","0042","BGUIES22XXX"
"BANCO HERRERO","0043","BHROESM2XXX"
"BANCO MERIDIONAL","0044",""
"BANCO DE CREDITO CANARIO","0045",""
"BANCO GALLEGO","0046","GALEES2GXXX"
"BANCO SIMEON","0048","CGDIES2VXXX"
"BANCO SANTANDER","0049","BSCHESMMXXX"
"BANCO DEL COMERCIO","0050","BCIOESMMXXX"
"BANCO INTERNACIONAL DE COMERCIO","0053",""
"BANCA JOVER ","0056","JOVEESBBXXX"
"B.N.P. ESPAÑA ","0058","BNPAESMZXXX"
"BANCO DE MADRID","0059","MADRESMMXXX"
"BANCA MARCH ","0061","BMARES2MXXX"
"BANCO MAPFRE","0063","BMAPESM1XXX"
"BARCLAYS BANK","0065","BARCESMMXXX"
"BANCO MERCANTIL DE TARRAGONA","0067",""
"BANCO DE GESTION E INV. FINANCIERA","0068",""
"BANCO DE MURCIA","0069","BAMUES22XXX"
"BANCO PASTOR","0072","PSTRESMMXXX"
"ENTIDAD 0073","0073","OPENESMMXXX"
"BANCO CONSOLIDADO DE ESPAÑA","0074",""
"BANCO POPULAR ESPAÑOL","0075","POPUESMMXXX"
"ENTIDAD 0077","0077",""
"BANCA PUEYO ","0078","BAPUES22XXX"
"BANCO INVERSION","0079",""
"BANCO SABADELL","0081","BSABESBBXXX"
"BANCO DE CASTILLA","0082","CASTES2SXXX"
"BANCO SANTANDER","0085","BDERESMMXXX"
"BANCO BANIF DE GESTION PRIVADA","0086","NORTESMMXXX"
"SINDICATO BANQUEROS DE BARCELONA","0087","SIBBESBBXXX"
"BANK OF AMERICA","0088","BOFAES2XXXX"
"BANCO DE EXTREMADURA","0089","CGDIES2CXXX"
"BANCO DE VALENCIA","0093","CAIXESBBXXX"
"BANCOVAL","0094","BVALESMMXXX"
"BANCO DE VASCONIA","0095","VASCES2PXXX"
"BANCO DE CANTABRIA","0096",""
"BANCO DE GALICIA","0097","GALIES2VXXX"
"BANCO DE CREDITO Y AHORRO","0099",""
"BANCO DE VITORIA","0100","BVICES21XXX"
"CAIXABANK","0101","CBANESBBXXX"
"BANCO ZARAGOZANO","0103",""
"BANCO EXTERIOR DE ESPAÑA","0104","EXTEESMMXXX"
"LLOYDS BANK","0106","LOYDESMMXXX"
"BANCA NAZIONALE DEL LAVORO ","0107","BNLIESM1XXX"
"SOCIETE GENERALE","0108","SOGEESMMAGM"
